,ds,y
0,1995-01-03,14846859.375
1,1995-01-04,16182800.0
2,1995-01-05,4130800.0
3,1995-01-06,20647418.75
4,1995-01-09,1696250.0
5,1995-01-10,10603115.625
6,1995-01-11,10268625.0
7,1995-01-12,1861356.25
8,1995-01-13,7972884.375
9,1995-01-16,4941342.1875
10,1995-01-17,4209296.875
11,1995-01-18,3970179.6875
12,1995-01-19,6498578.125
13,1995-01-20,3663239.0625
14,1995-01-23,2507118.75
15,1995-01-24,1514700.0
16,1995-01-25,735937.5
17,1995-01-26,459834.375
18,1995-01-27,4296375.0
19,1995-01-30,1247706.25
20,1995-01-31,6004453.125
21,1995-02-01,17899103.125
22,1995-02-02,6237229.6875
23,1995-02-03,19457459.375
24,1995-02-06,19554215.625
25,1995-02-07,33947873.4375
26,1995-02-08,25186820.3125
27,1995-02-09,18869589.0625
28,1995-02-10,7171695.3125
29,1995-02-13,3855487.5
30,1995-02-14,8244062.5
31,1995-02-15,21015398.4375
32,1995-02-16,4830014.0625
33,1995-02-17,2379048.4375
34,1995-02-21,8137500.0
35,1995-02-22,18855112.5
36,1995-02-23,19686850.0
37,1995-02-24,15072400.0
38,1995-02-27,13654373.4375
39,1995-02-28,24189210.9375
40,1995-03-01,11815378.125
41,1995-03-02,23826884.375
42,1995-03-03,14146562.5
43,1995-03-06,4183231.25
44,1995-03-07,8762343.75
45,1995-03-08,7570893.75
46,1995-03-09,3082726.5625
47,1995-03-10,9463926.5625
48,1995-03-13,12860859.375
49,1995-03-14,11070795.3125
50,1995-03-15,13781398.4375
51,1995-03-16,1015537.5
52,1995-03-17,4455668.75
53,1995-03-20,4544881.25
54,1995-03-21,5161275.0
55,1995-03-22,3706379.6875
56,1995-03-23,10918195.3125
57,1995-03-24,6729312.5
58,1995-03-27,6660729.6875
59,1995-03-28,6146426.5625
60,1995-03-29,12404978.125
61,1995-03-30,15013250.0
62,1995-03-31,27124204.6875
63,1995-04-03,9710304.6875
64,1995-04-04,3382631.25
65,1995-04-05,5420300.0
66,1995-04-06,17889375.0
67,1995-04-07,18324109.375
68,1995-04-10,14497428.125
69,1995-04-11,12671437.5
70,1995-04-12,7665248.4375
71,1995-04-13,12432415.625
72,1995-04-17,9084765.625
73,1995-04-18,16675789.0625
74,1995-04-19,11275437.5
75,1995-04-20,10528185.9375
76,1995-04-21,7379140.625
77,1995-04-24,8700859.375
78,1995-04-25,15053987.5
79,1995-04-26,10504243.75
80,1995-04-27,25871146.875
81,1995-04-28,6748462.5
82,1995-05-01,26688735.9375
83,1995-05-02,11776875.0
84,1995-05-03,37888221.875
85,1995-05-04,16270650.0
86,1995-05-05,16433843.75
87,1995-05-08,9624193.75
88,1995-05-09,9484321.875
89,1995-05-10,17366554.6875
90,1995-05-11,18541184.375
91,1995-05-12,4990150.0
92,1995-05-15,7801600.0
93,1995-05-16,11751725.0
94,1995-05-17,9995081.25
95,1995-05-18,30081712.5
96,1995-05-19,18956915.625
97,1995-05-22,11377125.0
98,1995-05-23,7271775.0
99,1995-05-24,19698750.0
100,1995-05-25,20199995.3125
101,1995-05-26,27258912.5
102,1995-05-30,3231632.8125
103,1995-05-31,30280132.8125
104,1995-06-01,43340350.0
105,1995-06-02,6045442.1875
106,1995-06-05,13856650.0
107,1995-06-06,8916931.25
108,1995-06-07,2241650.0
109,1995-06-08,7531212.5
110,1995-06-09,16178756.25
111,1995-06-12,20196523.4375
112,1995-06-13,6472500.0
113,1995-06-14,20985009.375
114,1995-06-15,14857312.5
115,1995-06-16,17545240.625
116,1995-06-19,7346215.625
117,1995-06-20,15667112.5
118,1995-06-21,8607068.75
119,1995-06-22,16372125.0
120,1995-06-23,17351928.125
121,1995-06-26,7224360.9375
122,1995-06-27,6927725.0
123,1995-06-28,11593343.75
124,1995-06-29,4855825.0
125,1995-06-30,38851503.125
126,1995-07-03,518789.0625
127,1995-07-05,22434756.25
128,1995-07-06,11241914.0625
129,1995-07-07,26862301.5625
130,1995-07-10,22341068.75
131,1995-07-11,23350890.625
132,1995-07-12,11434893.75
133,1995-07-13,12093812.5
134,1995-07-14,30472685.9375
135,1995-07-17,9665632.8125
136,1995-07-18,12359550.0
137,1995-07-19,26892253.125
138,1995-07-20,17688984.375
139,1995-07-21,5208187.5
140,1995-07-24,6050075.0
141,1995-07-25,6039571.875
142,1995-07-26,9428262.5
143,1995-07-27,10634378.125
144,1995-07-28,23396981.25
145,1995-07-31,19233515.625
146,1995-08-01,7904812.5
147,1995-08-02,13447375.0
148,1995-08-03,66748350.0
149,1995-08-04,13464242.1875
150,1995-08-07,10834720.3125
151,1995-08-08,53410514.0625
152,1995-08-09,6007640.625
153,1995-08-10,15716025.0
154,1995-08-11,14314787.5
155,1995-08-14,14308612.5
156,1995-08-15,2488481.25
157,1995-08-16,21070551.5625
158,1995-08-17,19851496.875
159,1995-08-18,4797078.125
160,1995-08-21,14939367.1875
161,1995-08-22,12358725.0
162,1995-08-23,9870210.9375
163,1995-08-24,9371784.375
164,1995-08-25,10977890.625
165,1995-08-28,16435468.75
166,1995-08-29,63719170.3125
167,1995-08-30,24651590.625
168,1995-08-31,27746234.375
169,1995-09-01,35687771.875
170,1995-09-05,15566437.5
171,1995-09-06,12290179.6875
172,1995-09-07,14836518.75
173,1995-09-08,6174779.6875
174,1995-09-11,15043204.6875
175,1995-09-12,8086640.625
176,1995-09-13,13964603.125
177,1995-09-14,26891150.0
178,1995-09-15,25198250.0
179,1995-09-18,17902265.625
180,1995-09-19,32151600.0
181,1995-09-20,17093587.5
182,1995-09-21,29643960.9375
183,1995-09-22,26234793.75
184,1995-09-25,7568437.5
185,1995-09-26,27157578.125
186,1995-09-27,38057450.0
187,1995-09-28,26730468.75
188,1995-09-29,35476621.875
189,1995-10-02,17054756.25
190,1995-10-03,48912525.0
191,1995-10-04,14477050.0
192,1995-10-05,15687000.0
193,1995-10-06,4397990.625
194,1995-10-09,20747615.625
195,1995-10-10,20886937.5
196,1995-10-11,13247620.3125
197,1995-10-12,11675812.5
198,1995-10-13,28614862.5
199,1995-10-16,25881287.5
200,1995-10-17,8575218.75
201,1995-10-18,13436515.625
202,1995-10-19,29629262.5
203,1995-10-20,44026968.75
204,1995-10-23,31288765.625
205,1995-10-24,10119440.625
206,1995-10-25,17641734.375
207,1995-10-26,35042700.0
208,1995-10-27,52706237.5
209,1995-10-30,28619493.75
210,1995-10-31,29634412.5
211,1995-11-01,24435365.625
212,1995-11-02,19284937.5
213,1995-11-03,36429140.625
214,1995-11-06,18370525.0
215,1995-11-07,21066637.5
216,1995-11-08,21197587.5
217,1995-11-09,30001631.25
218,1995-11-10,47363062.5
219,1995-11-13,48675171.875
220,1995-11-14,20192903.125
221,1995-11-15,34890145.3125
222,1995-11-16,34662000.0
223,1995-11-17,16070062.5
224,1995-11-20,26871900.0
225,1995-11-21,7194837.5
226,1995-11-22,21156431.25
227,1995-11-24,3764475.0
228,1995-11-27,16473843.75
229,1995-11-28,29211515.625
230,1995-11-29,33526943.75
231,1995-11-30,17431368.75
232,1995-12-01,28369931.25
233,1995-12-04,38997604.6875
234,1995-12-05,35277232.8125
235,1995-12-06,16990325.0
236,1995-12-07,17947820.3125
237,1995-12-08,18454190.625
238,1995-12-11,11641679.6875
239,1995-12-12,18632971.875
240,1995-12-13,24467587.5
241,1995-12-14,24557890.625
242,1995-12-15,25757268.75
243,1995-12-18,52276937.5
244,1995-12-19,62650228.125
245,1995-12-20,81894896.875
246,1995-12-21,52300200.0
247,1995-12-22,20368400.0
248,1995-12-26,26580300.0
249,1995-12-27,9330956.25
250,1995-12-28,15732281.25
251,1995-12-29,20855500.0
252,1996-01-02,31965137.5
253,1996-01-03,38029318.75
254,1996-01-04,69723671.875
255,1996-01-05,18625950.0
256,1996-01-08,11122879.6875
257,1996-01-09,25248117.1875
258,1996-01-10,47237384.375
259,1996-01-11,30960393.75
260,1996-01-12,23515500.0
261,1996-01-15,9268865.625
262,1996-01-16,27659568.75
263,1996-01-17,24723487.5
264,1996-01-18,25901750.0
265,1996-01-19,10402903.125
266,1996-01-22,17661256.25
267,1996-01-23,22247003.125
268,1996-01-24,93285304.6875
269,1996-01-25,18412212.5
270,1996-01-26,45200826.5625
271,1996-01-29,15921018.75
272,1996-01-30,17146551.5625
273,1996-01-31,31708593.75
274,1996-02-01,23894546.875
275,1996-02-02,31578478.125
276,1996-02-05,18945340.625
277,1996-02-06,19533312.5
278,1996-02-07,38113779.6875
279,1996-02-08,100517068.75
280,1996-02-09,52965309.375
281,1996-02-12,41554570.3125
282,1996-02-13,69225506.25
283,1996-02-14,28303884.375
284,1996-02-15,57998179.6875
285,1996-02-16,39358618.75
286,1996-02-20,31653351.5625
287,1996-02-21,28250687.5
288,1996-02-22,47702575.0
289,1996-02-23,94317000.0
290,1996-02-26,91546000.0
291,1996-02-27,38942921.875
292,1996-02-28,55850550.0
293,1996-02-29,58400912.5
294,1996-03-01,94260121.875
295,1996-03-04,42592346.875
296,1996-03-05,26481750.0
297,1996-03-06,40790957.8125
298,1996-03-07,35056875.0
299,1996-03-08,145408650.0
300,1996-03-11,97083834.375
301,1996-03-12,88291229.6875
302,1996-03-13,65410392.1875
303,1996-03-14,46767187.5
304,1996-03-15,55737450.0
305,1996-03-18,59973762.5
306,1996-03-19,55977253.125
307,1996-03-20,48484167.1875
308,1996-03-21,42291831.25
309,1996-03-22,22446328.125
310,1996-03-25,52181075.0
311,1996-03-26,63344231.25
312,1996-03-27,52421600.0
313,1996-03-28,65084500.0
314,1996-03-29,29607468.75
315,1996-04-01,50609362.5
316,1996-04-02,41881325.0
317,1996-04-03,18882000.0
318,1996-04-04,61250557.8125
319,1996-04-08,142766893.75
320,1996-04-09,75743664.0625
321,1996-04-10,59188500.0
322,1996-04-11,80288312.5
323,1996-04-12,26207521.875
324,1996-04-15,31109850.0
325,1996-04-16,27688793.75
